Loan_ID,Gender,Married,Dependents,Education,ApplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
LP001003,Male,Yes,1,Graduate,4583,128,360,Rural,N
LP001005,Male,Yes,0,Graduate,3000,66,360,Urban,Y
LP001006,Male,Yes,0,Not Graduate,2583,120,360,Urban,Y
LP001008,Male,No,0,Graduate,6000,141,360,Urban,Y
LP001011,Male,Yes,2,Graduate,5417,267,360,Urban,Y
LP001013,Male,Yes,0,Not Graduate,2333,95,360,Urban,Y
LP001014,Male,Yes,3+,Graduate,3036,158,360,Semiurban,N
LP001018,Male,Yes,2,Graduate,4006,168,360,Urban,Y
LP001020,Male,Yes,1,Graduate,12841,349,360,Semiurban,N
LP001024,Male,Yes,2,Graduate,3200,70,360,Urban,Y
LP001027,Male,Yes,2,Graduate,2500,109,360,Urban,Y
LP001028,Male,Yes,2,Graduate,3073,200,360,Urban,Y
LP001029,Male,No,0,Graduate,1853,114,360,Rural,N
LP001030,Male,Yes,2,Graduate,1299,17,120,Urban,Y
LP001032,Male,No,0,Graduate,4950,125,360,Urban,Y
LP001034,Male,No,1,Not Graduate,3596,100,240,Urban,Y
LP001036,Female,No,0,Graduate,3510,76,360,Urban,N
LP001038,Male,Yes,0,Not Graduate,4887,133,360,Rural,N
LP001041,Male,Yes,0,Graduate,2600,115,,Urban,Y
LP001043,Male,Yes,0,Not Graduate,7660,104,360,Urban,N
LP001046,Male,Yes,1,Graduate,5955,315,360,Urban,Y
LP001047,Male,Yes,0,Not Graduate,2600,116,360,Semiurban,N
LP001050,,Yes,2,Not Graduate,3365,112,360,Rural,N
LP001052,Male,Yes,1,Graduate,3717,151,360,Semiurban,N
LP001066,Male,Yes,0,Graduate,9560,191,360,Semiurban,Y
LP001068,Male,Yes,0,Graduate,2799,122,360,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,4226,110,360,Urban,Y
LP001086,Male,No,0,Not Graduate,1442,35,360,Urban,N
LP001087,Female,No,2,Graduate,3750,120,360,Semiurban,Y
LP001091,Male,Yes,1,Graduate,4166,201,360,Urban,N
